config_id,reducer,clusterer,k,k_effective,noise_ratio,silhouette,davies_bouldin,calinski_harabasz,dbcv,bic,hdbscan_impl,bootstrap_ari_mean,selection_track,composite,hdbscan_score,rank_sil,rank_dbi,rank_ch,rank_stab,rank_dbcv,rank_noise,rank_stab_hdb
C05,umap,kmeans,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,,,,0.989961320374465,primary,6.0,,1.0,1.0,1.0,3.0,,,
C07,umap,agglo,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,,,,0.9809275153391526,primary,7.0,,1.0,1.0,1.0,4.0,,,
C01,pca,kmeans,3,3,0.0,0.1831684876906089,1.8906574789412522,122.43098291004098,,,,0.9938227308524724,primary,15.0,,5.0,4.0,4.0,2.0,,,
C06,umap,gmm,10,10,0.0,0.34249958395957947,1.0893697854054645,6679.304685473553,,-13561.459639878161,,0.6284724093358954,primary,18.0,,3.0,3.0,3.0,9.0,,,
C03,pca,agglo,3,3,0.0,0.18385007577625187,1.8973305790826605,121.03566719832878,,,,0.8805924215879849,primary,21.0,,4.0,6.0,6.0,5.0,,,
C09,identity,kmeans,3,3,0.0,0.15114023126067425,2.1256756747703283,98.57804523445769,,,,0.9955108141200443,primary,22.0,,7.0,7.0,7.0,1.0,,,
C02,pca,gmm,3,3,0.0,0.18307300124011724,1.8915849986034978,122.36251129227836,,15945.853666075027,,0.8603405209709376,primary,23.0,,6.0,5.0,5.0,7.0,,,
C11,identity,agglo,3,3,0.0,0.14863337891695275,2.1452825315516426,95.74561764696766,,,,0.852173636675077,primary,32.0,,8.0,8.0,8.0,8.0,,,
C10,identity,gmm,6,6,0.0,0.14032499449416502,2.3312192676731556,58.80263929206064,,-6563.947366866389,,0.8659299058955315,primary,33.0,,9.0,9.0,9.0,6.0,,,
C08,umap,hdbscan,3,3,0.0,0.8164495229721069,0.2932478304653581,10680.715452646447,0.8962424755630253,,hdbscan,0.8891637855039238,hdbscan_comparison,,3.0,,,,,1.0,1.0,1.0
C12,identity,hdbscan,2,2,0.3266563944530046,0.19051509279308923,1.6554691022497738,60.022633349040916,0.06512413411433453,,hdbscan,0.7394102071062615,hdbscan_comparison,,7.0,,,,,2.0,3.0,2.0
C04,pca,hdbscan,3,3,0.2727272727272727,0.2288323726298009,1.6343140940889598,123.01157217029233,0.0007305788224586524,,hdbscan,0.5870019219974435,hdbscan_comparison,,8.0,,,,,3.0,2.0,3.0
